Resolution (NxN),Naive Time (s),NumPy Time (s),Numba Time (s),Speedup NumPy vs Naive,Speedup Numba vs Naive,Speedup Numba vs NumPy
100,0.038140296936035156,0.006523847579956055,0.003997325897216797,5.85,9.54,1.63
300,0.3330647945404053,0.04937100410461426,0.012529373168945312,6.75,26.58,3.94
600,2.175348997116089,0.5236489772796631,0.11069345474243164,4.15,19.65,4.73
1000,8.53698182106018,1.4020094871520996,0.3068809509277344,6.09,27.82,4.57
1500,8.811492204666138,2.5812201499938965,0.33446264266967773,3.41,26.35,7.72
2000,14.206598997116089,4.808454751968384,0.5886936187744141,2.95,24.13,8.17
2500,23.348342418670654,7.413780212402344,0.9196567535400391,3.15,25.39,8.06
3000,34.54605507850647,11.24983024597168,1.4717133045196533,3.07,23.47,7.64
3500,50.770368814468384,16.85202932357788,2.9981882572174072,3.01,16.93,5.62
4000,70.51032304763794,19.945319890975952,2.3198068141937256,3.54,30.39,8.6
